qid,tier,lat,lon,sitelinks,iso
n13016853229,craft_cluster,37.92361,139.06538,0,JP
n13816574092,craft_cluster,37.92988,139.05628,0,JP
n13820124013,craft_cluster,37.93673,139.05607,0,JP
n13099689726,craft_cluster,37.92264,139.08186,0,JP
n13182601831,institution,37.93122,139.10595,0,JP
n13166919432,craft_cluster,37.92740,139.12238,0,JP
n4642403509,craft_cluster,37.91512,139.21427,0,JP
n4642403090,craft_cluster,37.91559,139.21856,0,JP
n4642403099,craft_cluster,37.91503,139.21956,0,JP
n4865774182,craft_cluster,37.91159,139.22194,0,JP
n4639803709,craft_cluster,37.91662,139.21765,0,JP
n4623348745,craft_cluster,37.91916,139.21908,0,JP
n4641690200,craft_cluster,37.91859,139.21946,0,JP
n5196570422,craft_cluster,37.91856,139.21990,0,JP
n5196570426,craft_cluster,37.92212,139.21888,0,JP
n1420712842,institution,36.53692,139.37186,0,JP
n1420710552,institution,36.55351,139.37298,0,JP
n4163110884,institution,36.63474,139.43827,0,JP
n4163119269,institution,36.63327,139.43923,0,JP
n4163119275,institution,36.63299,139.43900,0,JP
n5327072944,institution,36.75532,139.45094,0,JP
n12960664001,craft_cluster,36.73218,139.49203,0,JP
n6433501925,institution,36.75633,139.61628,0,JP
n9294003299,institution,36.51857,139.67975,0,JP
n12695754866,craft_cluster,36.55855,139.89577,0,JP
n13649304591,market,36.55895,139.90964,0,JP
n13751943334,craft_cluster,36.54904,139.92375,0,JP
n13751943335,craft_cluster,36.55409,139.92476,0,JP
n6011377714,institution,36.56022,139.88214,0,JP
n6042867911,craft_cluster,36.55986,139.89263,0,JP
n12785171311,craft_cluster,36.54511,140.06092,0,JP
n6484594786,institution,36.68523,139.97167,0,JP
n14006071631,institution,36.72081,139.68942,0,JP
n5456545454,craft_cluster,36.74754,139.71397,0,JP
n1395767893,market,36.72995,139.81364,0,JP
n5470816801,institution,36.77558,139.81239,0,JP
n13409952799,craft_cluster,36.82476,139.71738,0,JP
n13410038504,craft_cluster,36.82762,139.71913,0,JP
n13411876037,craft_cluster,36.82500,139.71646,0,JP
n5814272553,institution,36.89957,139.96899,0,JP
n5453813683,craft_cluster,36.85889,140.01310,0,JP
n13979841832,institution,37.02161,139.38524,0,JP
n13979841833,institution,37.02175,139.38546,0,JP
n10847884631,craft_cluster,37.29216,139.48004,0,JP
n309824103,institution,37.32619,139.62982,0,JP
n9301725395,institution,36.95199,140.03239,0,JP
n9740724805,market,36.95130,140.06019,0,JP
n9134294554,craft_cluster,36.96539,140.04865,0,JP
n9134294284,craft_cluster,36.96622,140.04795,0,JP
