id,lat,lon,kind,weight,tag
osm-way-1106600834,-26.29762,-58.23105,A7,0.6,natural=wetland
osm-way-1082101276,-26.29552,-58.21944,A7,0.6,natural=wetland
osm-way-1110298732,-26.29517,-58.23203,A7,0.6,natural=wetland
osm-way-1082101275,-26.29746,-58.21211,A7,0.6,natural=wetland
osm-way-1110300592,-26.29895,-58.21529,A7,0.6,natural=wetland
osm-way-1110300593,-26.30129,-58.21559,A7,0.6,natural=wetland
osm-way-1148513774,-26.28950,-58.20540,A7,0.6,natural=wetland
osm-way-1148513776,-26.28995,-58.20249,A7,0.6,natural=wetland
osm-way-1148513775,-26.29026,-58.20427,A7,0.6,natural=wetland
osm-way-1148513773,-26.28869,-58.20490,A7,0.6,natural=wetland
osm-way-1148513777,-26.28927,-58.20132,A7,0.6,natural=wetland
osm-way-1148513772,-26.28849,-58.20273,A7,0.6,natural=wetland
osm-way-1110299639,-26.27028,-58.22192,A7,0.6,natural=wetland
osm-way-1292408750,-26.26547,-58.22270,A7,0.6,natural=wetland
osm-way-1138438686,-26.25667,-58.23934,A7,0.6,natural=wetland
osm-way-1078286465,-26.23619,-58.29635,A7,0.6,natural=wetland
osm-way-1112084538,-26.23769,-58.29730,A7,0.6,natural=wetland
osm-way-1077670359,-26.21708,-58.24980,A7,0.6,natural=wetland
osm-way-1110297783,-26.24812,-58.26817,A7,0.6,natural=wetland
osm-way-1065898637,-26.23451,-58.19855,A3,0.9,natural=beach
osm-way-1146786143,-26.23283,-58.19706,A7,0.6,natural=wetland
osm-way-1045107551,-26.22727,-58.19620,A7,0.6,natural=wetland
osm-way-1146786136,-26.23122,-58.19629,A7,0.6,natural=wetland
osm-way-1147002913,-26.23067,-58.19716,A7,0.6,natural=wetland
osm-way-1236604204,-26.22451,-58.20078,A7,0.6,natural=wetland
osm-way-1146786131,-26.22829,-58.19673,A7,0.6,natural=wetland
osm-way-1236601834,-26.21386,-58.20974,A7,0.6,natural=wetland
